,LSOA,LSOA Name,IMDDecile,IMDRank,Healthfulness (Median),Daily Opening Hours,Vehicle Accessibility
0,E01006653,Liverpool 001B E01006653,1.0,2846.0,,,0.59
1,E01006663,Liverpool 004C E01006663,1.0,2353.0,,,0.58
2,E01006660,Liverpool 001E E01006660,1.0,1383.0,-0.6,24.0,0.56
3,E01006658,Liverpool 001D E01006658,1.0,804.0,,,0.46
4,E01006515,Liverpool 037B E01006515,1.0,1875.0,,,0.29
5,E01006661,Liverpool 004A E01006661,1.0,746.0,,,0.48
6,E01006662,Liverpool 004B E01006662,1.0,566.0,-0.8,10.285714285714286,0.48
7,E01033759,Liverpool 010F E01033759,1.0,1040.0,0.4,11.285714285714285,0.54
8,E01006603,Liverpool 011B E01006603,1.0,1068.0,-1.0,9.357142857142858,0.54
9,E01006600,Liverpool 011A E01006600,1.0,993.0,,,0.55
10,E01006604,Liverpool 016A E01006604,1.0,1822.0,,,0.59
11,E01006731,Liverpool 011D E01006731,1.0,798.0,,12.857142857142858,0.48
12,E01006734,Liverpool 005C E01006734,1.0,809.0,,,0.39
13,E01006598,Liverpool 010A E01006598,1.0,468.0,,,0.38
14,E01006541,Liverpool 015A E01006541,1.0,1942.0,,,0.48
15,E01006672,Liverpool 010E E01006672,1.0,1104.0,,,0.5
16,E01006599,Liverpool 010B E01006599,1.0,1433.0,,,0.37
17,E01006618,Liverpool 016C E01006618,1.0,2626.0,,,0.55
18,E01006736,Liverpool 005E E01006736,1.0,2419.0,,,0.55
19,E01006664,Liverpool 004D E01006664,1.0,495.0,-1.0,11.714285714285714,0.48
20,E01006737,Liverpool 005F E01006737,1.0,1599.0,,,0.56
21,E01006735,Liverpool 005D E01006735,1.0,301.0,,,0.48
22,E01006730,Liverpool 011C E01006730,1.0,1204.0,,,0.54
23,E01006732,Liverpool 011E E01006732,1.0,469.0,,,0.41
24,E01006729,Liverpool 008C E01006729,1.0,1028.0,,,0.47
25,E01006605,Liverpool 016B E01006605,1.0,2300.0,,,0.5
26,E01006569,Liverpool 029B E01006569,1.0,1163.0,1.75,11.857142857142858,0.5
27,E01006644,Liverpool 017D E01006644,1.0,1898.0,,,0.51
28,E01006645,Liverpool 017E E01006645,1.0,471.0,,,0.37
29,E01006606,Liverpool 020A E01006606,1.0,1642.0,,,0.56
30,E01006768,Liverpool 020F E01006768,1.0,1982.0,1.075,12.0,0.58
31,E01006567,Liverpool 026A E01006567,1.0,1676.0,1.75,13.714285714285714,0.42
32,E01006721,Liverpool 038C E01006721,1.0,644.0,,,0.37
33,E01032508,Liverpool 027G E01032508,1.0,1071.0,1.075,14.142857142857142,0.42
34,E01032509,Liverpool 027H E01032509,1.0,974.0,1.75,11.142857142857142,0.46
35,E01006690,Liverpool 028A E01006690,1.0,796.0,,,0.36
36,E01006716,Liverpool 032E E01006716,1.0,2338.0,,,0.49
37,E01006692,Liverpool 028B E01006692,1.0,1505.0,,,0.44
38,E01006711,Liverpool 027A E01006711,1.0,901.0,1.75,12.857142857142858,0.47
39,E01006697,Liverpool 030D E01006697,1.0,710.0,,,0.33
40,E01006573,Liverpool 029C E01006573,1.0,1907.0,-0.8,4.714285714285714,0.4
41,E01006585,Liverpool 032B E01006585,1.0,1169.0,,,0.45
42,E01006761,Liverpool 020B E01006761,1.0,763.0,,6.0,0.44
43,E01006764,Liverpool 020D E01006764,1.0,554.0,-1.0,11.5,0.47
44,E01006767,Liverpool 019F E01006767,1.0,617.0,,,0.48
45,E01006763,Liverpool 020C E01006763,1.0,2714.0,,,0.59
46,E01006572,Liverpool 025A E01006572,1.0,597.0,,12.857142857142858,0.48
47,E01006643,Liverpool 025E E01006643,1.0,811.0,,,0.49
48,E01006574,Liverpool 025B E01006574,1.0,1769.0,,0.0,0.54
49,E01006571,Liverpool 026D E01006571,1.0,1431.0,,,0.51
50,E01006642,Liverpool 025D E01006642,1.0,485.0,,,0.38
51,E01006638,Liverpool 017B E01006638,1.0,245.0,,,0.46
52,E01006637,Liverpool 017A E01006637,1.0,1277.0,0.8,16.0,0.45
53,E01006726,Liverpool 035C E01006726,1.0,2881.0,,,0.49
54,E01006728,Liverpool 035E E01006728,1.0,460.0,,,0.35
55,E01006720,Liverpool 035A E01006720,1.0,764.0,,,0.39
56,E01006556,Liverpool 039B E01006556,1.0,275.0,,11.0,0.26
57,E01006775,Liverpool 040F E01006775,1.0,367.0,,,0.45
58,E01006549,Liverpool 043B E01006549,1.0,2628.0,,,0.42
59,E01006675,Liverpool 043C E01006675,1.0,1625.0,,,0.45
60,E01006745,Liverpool 057D E01006745,1.0,2874.0,,0.0,0.52
61,E01006740,Liverpool 057A E01006740,1.0,1359.0,,,0.36
62,E01006739,Liverpool 058B E01006739,1.0,1187.0,,,0.49
63,E01006738,Liverpool 058A E01006738,1.0,1280.0,,,0.48
64,E01006776,Liverpool 022B E01006776,1.0,2641.0,-0.6,9.428571428571429,0.48
65,E01006778,Liverpool 014E E01006778,1.0,266.0,,,0.31
66,E01006779,Liverpool 022D E01006779,1.0,173.0,,,0.32
67,E01006705,Liverpool 009E E01006705,1.0,676.0,,,0.51
68,E01006698,Liverpool 012D E01006698,1.0,1017.0,,,0.53
69,E01006699,Liverpool 014A E01006699,1.0,325.0,,,0.31
70,E01006753,Liverpool 059A E01006753,1.0,852.0,,,0.47
71,E01006755,Liverpool 059C E01006755,1.0,559.0,1.075,12.0,0.38
72,E01006758,Liverpool 059F E01006758,1.0,1099.0,,,0.49
73,E01006741,Liverpool 058C E01006741,1.0,1506.0,-0.6,0.0,0.52
74,E01006756,Liverpool 059D E01006756,1.0,923.0,,,0.45
75,E01006757,Liverpool 059E E01006757,1.0,1055.0,,,0.47
76,E01006754,Liverpool 059B E01006754,1.0,802.0,,,0.45
77,E01006769,Liverpool 040B E01006769,1.0,2819.0,,,0.4
78,E01006770,Liverpool 040C E01006770,1.0,2344.0,,,0.46
79,E01006771,Liverpool 040D E01006771,1.0,462.0,-0.6,13.714285714285714,0.43
80,E01006709,Liverpool 040A E01006709,1.0,2753.0,,,0.52
81,E01006708,Liverpool 045C E01006708,1.0,2573.0,,,0.58
82,E01006706,Liverpool 045A E01006706,1.0,343.0,,,0.48
83,E01006707,Liverpool 045B E01006707,1.0,860.0,,,0.44
84,E01006648,Liverpool 023D E01006648,1.0,2388.0,,,0.4
85,E01033764,Liverpool 022E E01033764,1.0,116.0,-0.6,16.714285714285715,0.27
86,E01033765,Liverpool 061D E01033765,1.0,945.0,-0.6,24.0,0.49
87,E01006646,Liverpool 023C E01006646,1.0,521.0,,,0.41
88,E01006558,Liverpool 018B E01006558,1.0,13.0,,,0.25
89,E01033747,Liverpool 018F E01033747,1.0,114.0,,,0.31
90,E01006542,Liverpool 018A E01006542,1.0,1029.0,,,0.45
91,E01006546,Liverpool 019B E01006546,1.0,331.0,,,0.41
92,E01006547,Liverpool 019C E01006547,1.0,10.0,,,0.36
93,E01006562,Liverpool 018E E01006562,1.0,37.0,,,0.33
94,E01006702,Liverpool 014C E01006702,1.0,158.0,,,0.34
95,E01006701,Liverpool 014B E01006701,1.0,1276.0,,,0.48
96,E01006544,Liverpool 015C E01006544,1.0,288.0,,,0.4
97,E01006563,Liverpool 024B E01006563,1.0,43.0,1.75,0.0,0.28
98,E01006545,Liverpool 019A E01006545,1.0,2151.0,,,0.53
99,E01006766,Liverpool 019E E01006766,1.0,118.0,,0.0,0.35
100,E01006762,Liverpool 015E E01006762,1.0,1463.0,,,0.51
101,E01006700,Liverpool 012E E01006700,1.0,276.0,-0.8,8.428571428571429,0.37
102,E01006703,Liverpool 014D E01006703,1.0,165.0,0.4,11.142857142857142,0.31
103,E01006611,Liverpool 012A E01006611,1.0,18.0,1.75,13.714285714285714,0.27
104,E01006615,Liverpool 012C E01006615,1.0,425.0,,,0.4
105,E01006610,Liverpool 009C E01006610,1.0,132.0,,,0.38
106,E01006614,Liverpool 012B E01006614,1.0,354.0,,,0.37
107,E01006560,Liverpool 023A E01006560,1.0,168.0,,,0.27
108,E01006790,Liverpool 006C E01006790,1.0,170.0,,,0.34
109,E01006609,Liverpool 009B E01006609,1.0,1416.0,,,0.52
110,E01006608,Liverpool 009A E01006608,1.0,2924.0,,,0.56
111,E01006613,Liverpool 009D E01006613,1.0,1632.0,,,0.52
112,E01006607,Liverpool 008A E01006607,1.0,1151.0,,,0.47
113,E01006616,Liverpool 015D E01006616,1.0,2556.0,,,0.58
114,E01006612,Liverpool 008B E01006612,1.0,525.0,0.475,15.071428571428571,0.42
115,E01006564,Liverpool 023B E01006564,1.0,2711.0,,,0.54
116,E01006678,Liverpool 044E E01006678,1.0,1278.0,1.75,16.285714285714285,0.36
117,E01006548,Liverpool 019D E01006548,1.0,287.0,,,0.36
118,E01006540,Liverpool 024A E01006540,1.0,30.0,,,0.29
119,E01006746,Liverpool 030E E01006746,1.0,1527.0,,,0.37
120,E01006693,Liverpool 024D E01006693,1.0,565.0,,,0.33
121,E01006647,Liverpool 024C E01006647,1.0,121.0,,,0.28
122,E01006695,Liverpool 028C E01006695,1.0,105.0,,,0.28
123,E01006694,Liverpool 030B E01006694,1.0,785.0,,,0.3
124,E01006760,Liverpool 028E E01006760,1.0,34.0,,,0.36
125,E01006696,Liverpool 030C E01006696,1.0,1390.0,,,0.38
126,E01006759,Liverpool 028D E01006759,1.0,2433.0,,,0.58
127,E01006673,Liverpool 037D E01006673,1.0,1512.0,,,0.28
128,E01006679,Liverpool 039D E01006679,1.0,511.0,,11.0,0.31
129,E01033768,Liverpool 037F E01033768,1.0,1833.0,,,0.32
130,E01006691,Liverpool 030A E01006691,1.0,299.0,0.4,12.857142857142858,0.37
131,E01033763,Liverpool 031G E01033763,1.0,610.0,,,0.25
132,E01006752,Liverpool 035F E01006752,1.0,1788.0,,,0.45
133,E01006674,Liverpool 039C E01006674,1.0,196.0,,0.0,0.31
134,E01006552,Liverpool 039A E01006552,1.0,1686.0,,,0.39
135,E01006518,Liverpool 044A E01006518,1.0,330.0,,6.571428571428571,0.37
136,E01006677,Liverpool 043D E01006677,1.0,143.0,,,0.29
137,E01033767,Liverpool 050J E01033767,1.0,422.0,,,0.4
138,E01006632,Liverpool 044C E01006632,1.0,1582.0,-0.2,10.285714285714286,0.36
139,E01006633,Liverpool 050B E01006633,1.0,298.0,,,0.3
140,E01006630,Liverpool 044B E01006630,1.0,247.0,,,0.3
141,E01006676,Liverpool 044D E01006676,1.0,515.0,,,0.33
142,E01006787,Liverpool 006A E01006787,1.0,1543.0,,,0.5
143,E01006791,Liverpool 006D E01006791,1.0,410.0,1.075,13.285714285714285,0.38
144,E01006659,Liverpool 005B E01006659,1.0,815.0,,,0.47
145,E01006655,Liverpool 001C E01006655,2.0,4416.0,-1.0,9.285714285714286,0.62
146,E01006667,Liverpool 007C E01006667,2.0,5647.0,,,0.69
147,E01032510,Liverpool 008F E01032510,2.0,4149.0,-1.0,11.857142857142858,0.65
148,E01006624,Liverpool 013B E01006624,2.0,4213.0,,,0.62
149,E01006765,Liverpool 020E E01006765,2.0,3528.0,,,0.53
150,E01006723,Liverpool 038E E01006723,2.0,4164.0,0.4,12.857142857142858,0.45
151,E01006725,Liverpool 035B E01006725,2.0,3938.0,,,0.48
152,E01006712,Liverpool 029D E01006712,2.0,4172.0,,,0.57
153,E01006713,Liverpool 029E E01006713,2.0,4884.0,-1.0,7.714285714285714,0.56
154,E01006575,Liverpool 034A E01006575,2.0,6220.0,,,0.67
155,E01006565,Liverpool 029A E01006565,2.0,3535.0,,,0.57
156,E01006718,Liverpool 027E E01006718,2.0,4032.0,,,0.63
157,E01006722,Liverpool 038D E01006722,2.0,5768.0,0.8,15.0,0.48
158,E01006551,Liverpool 048E E01006551,2.0,3714.0,,,0.46
159,E01006727,Liverpool 035D E01006727,2.0,5608.0,,,0.57
160,E01006586,Liverpool 032C E01006586,2.0,4751.0,,,0.56
161,E01006588,Liverpool 042C E01006588,2.0,6206.0,,,0.66
162,E01006522,Liverpool 048A E01006522,2.0,3648.0,0.8,15.0,0.56
163,E01006520,Liverpool 043A E01006520,2.0,3448.0,-0.6,24.0,0.52
164,E01006523,Liverpool 052B E01006523,2.0,5210.0,,,0.58
165,E01032505,Liverpool 050F E01032505,2.0,4319.0,,,0.65
166,E01032506,Liverpool 050G E01032506,2.0,3462.0,,,0.51
167,E01006514,Liverpool 037A E01006514,2.0,3299.0,,,0.34
168,E01006535,Liverpool 054B E01006535,2.0,5200.0,,,0.71
169,E01006742,Liverpool 057B E01006742,2.0,3553.0,,,0.65
170,E01006744,Liverpool 057C E01006744,2.0,5324.0,,,0.59
171,E01006536,Liverpool 054C E01006536,2.0,3954.0,,,0.63
172,E01006786,Liverpool 003E E01006786,2.0,5317.0,,,0.7
173,E01006772,Liverpool 040E E01006772,2.0,5080.0,-1.0,13.142857142857142,0.67
174,E01006797,Liverpool 051C E01006797,2.0,3618.0,,,0.58
175,E01006710,Liverpool 045D E01006710,2.0,4472.0,,,0.62
176,E01033751,Liverpool 062A E01033751,2.0,3937.0,0.8,10.0,0.57
177,E01006751,Liverpool 031F E01006751,2.0,4262.0,,,0.35
178,E01006748,Liverpool 031C E01006748,2.0,6451.0,,,0.36
179,E01006783,Liverpool 002E E01006783,2.0,3981.0,0.8,11.428571428571429,0.61
180,E01006657,Liverpool 002C E01006657,2.0,3495.0,,,0.55
181,E01006656,Liverpool 002B E01006656,2.0,5473.0,-1.0,13.857142857142858,0.61
182,E01006788,Liverpool 006B E01006788,2.0,5240.0,,,0.64
183,E01032511,Liverpool 008G E01032511,2.0,3367.0,,,0.68
184,E01006785,Liverpool 003D E01006785,2.0,3399.0,,,0.61
185,E01006784,Liverpool 003C E01006784,2.0,5617.0,-1.0,7.928571428571429,0.62
186,E01006782,Liverpool 003B E01006782,2.0,4426.0,,,0.6
187,E01006654,Liverpool 005A E01006654,3.0,7111.0,0.4,6.428571428571429,0.65
188,E01033754,Liverpool 061B E01033754,3.0,7525.0,,,0.45
189,E01006619,Liverpool 021B E01006619,3.0,9726.0,,,0.67
190,E01006671,Liverpool 013D E01006671,3.0,6888.0,,,0.73
191,E01006627,Liverpool 013C E01006627,3.0,6670.0,,,0.7
192,E01006639,Liverpool 017C E01006639,3.0,6713.0,,,0.7
193,E01006626,Liverpool 016E E01006626,3.0,9492.0,-1.0,10.0,0.74
194,E01006568,Liverpool 026B E01006568,3.0,8033.0,,,0.72
195,E01006717,Liverpool 027D E01006717,3.0,7831.0,0.10000000000000003,21.0,0.73
196,E01006719,Liverpool 027F E01006719,3.0,7677.0,,,0.62
197,E01006566,Liverpool 032A E01006566,3.0,7323.0,,7.714285714285714,0.7
198,E01006584,Liverpool 034E E01006584,3.0,8580.0,,,0.74
199,E01006554,Liverpool 048F E01006554,3.0,8733.0,,8.0,0.54
200,E01006550,Liverpool 038A E01006550,3.0,9528.0,-1.0,11.714285714285714,0.63
201,E01006587,Liverpool 032D E01006587,3.0,9560.0,,,0.7
202,E01006521,Liverpool 052A E01006521,3.0,9780.0,,,0.61
203,E01006629,Liverpool 052E E01006629,3.0,7284.0,,,0.64
204,E01006528,Liverpool 052C E01006528,3.0,8753.0,,,0.66
205,E01006681,Liverpool 054D E01006681,3.0,8168.0,,12.5,0.67
206,E01006534,Liverpool 054A E01006534,3.0,7047.0,,,0.68
207,E01006743,Liverpool 058D E01006743,3.0,7096.0,1.75,11.714285714285714,0.6
208,E01006533,Liverpool 055C E01006533,3.0,9749.0,,,0.72
209,E01006793,Liverpool 051A E01006793,3.0,8125.0,,,0.65
210,E01006799,Liverpool 051E E01006799,3.0,7354.0,1.75,11.857142857142858,0.53
211,E01006780,Liverpool 002D E01006780,3.0,6754.0,,,0.67
212,E01033758,Liverpool 060B E01033758,3.0,7769.0,0.4,12.857142857142858,0.14
213,E01006543,Liverpool 015B E01006543,3.0,9246.0,0.8,15.0,0.72
214,E01033757,Liverpool 037E E01033757,3.0,7675.0,0.8,15.0,0.23
215,E01006652,Liverpool 002A E01006652,3.0,8152.0,,,0.67
216,E01006625,Liverpool 016D E01006625,4.0,11227.0,-0.8,8.571428571428571,0.71
217,E01033760,Liverpool 060C E01033760,4.0,11379.0,0.4,11.142857142857142,0.19
