,CommonName,Longitude,Latitude,Landmark,LSOA
0,Liverpool Lime Street Rail Station,-2.978623691,53.40709415,Station,E01033760
1,Liverpool Lime Street Rail Station,-2.978369283,53.40846255,Station,E01033760
2,Liverpool ONE Bus Station,-2.988145806,53.40190101,Bus Station,E01033756
3,Liverpool ONE Bus Station,-2.988415243,53.40184485,Bus Station,E01033756
4,Kirkdale Rail Station,-2.980718483,53.44125276,Station,E01006778
5,Liverpool Central Rail Station,-2.980261422,53.40439303,Station,E01033756
6,Liverpool Central Rail Station,-2.980059966,53.40479019,Station,E01033756
7,Liverpool Central Rail Station,-2.979505579,53.40488463,Station,E01033756
8,Liverpool Lime Street Rail Station,-2.979196895,53.40781755,Station,E01033760
9,Liverpool Lime Street Rail Station,-2.978606587,53.4070044,Station,E01033760
10,Liverpool Lime Street Rail Station,-2.978024382,53.40851032,Station,E01033760
11,Liverpool ONE Bus Station,-2.98874379,53.40174325,Bus Station,E01033756
12,Liverpool ONE Bus Station,-2.988825651,53.40203021,Bus Station,E01033756
13,Liverpool ONE Bus Station,-2.988570834,53.40206828,Bus Station,E01033756
14,Liverpool ONE Bus Station,-2.98763763,53.40204005,Bus Station,E01033756
15,Edge Hill Rail Station,-2.947388672,53.40276178,Station,E01006720
16,Queen Square Bus Station,-2.983161107,53.40750632,Bus Station,E01033760
17,Belle Vale Bus Station,-2.860562615,53.39044836,Belle Vale Shopping Centre,E01006771
18,Belle Vale Bus Station,-2.860603911,53.3902593,Belle Vale Shopping Centre,E01006771
19,Belle Vale Bus Station,-2.861021615,53.39009449,Belle Vale Shopping Centre,E01006771
20,Belle Vale Bus Station,-2.860919638,53.39025702,Belle Vale Shopping Centre,E01006771
21,Fazakerley Rail Station,-2.936402168,53.46887156,Station,E01006655
22,Queen Square Bus Station,-2.982633664,53.40746571,Bus Station,E01033760
23,Queen Square Bus Station,-2.983508482,53.40756638,Bus Station,E01033760
24,Queen Square Bus Station,-2.981677303,53.40774325,Bus Station,E01033760
25,Queen Square Bus Station,-2.981439141,53.40785308,Bus Station,E01033760
26,Queen Square Bus Station,-2.981870963,53.40766076,Bus Station,E01033760
27,Queen Square Bus Station,-2.982110157,53.40759587,Bus Station,E01033760
28,Queen Square Bus Station,-2.982859267,53.40746386,Bus Station,E01033760
29,Bank Hall Rail Station,-2.987432605,53.43734121,Station,E01006778
30,Brunswick Rail Station,-2.976715192,53.38354078,Station,E01033748
31,Orrell Park Rail Station,-2.963214325,53.46208755,Station,E01006784
32,Rice Lane Rail Station,-2.96231432,53.4575914,Station,E01006785
33,Queen Square Bus Station,-2.982613031,53.40722318,Bus Station,E01033760
34,Liverpool ONE Bus Station,-2.987012058,53.4023059,Bus Station,E01033756
35,Hunts Cross Rail Station,-2.856414149,53.36057219,Station,E01006538
36,Liverpool James Street Rail Station,-2.991837536,53.40477382,Station,E01033752
37,Liverpool ONE Bus Station,-2.987936313,53.40194769,Bus Station,E01033756
38,Queen Square Bus Station,-2.981923464,53.40732774,Bus Station,E01033760
39,Queen Square Bus Station,-2.983004902,53.40725591,Bus Station,E01033760
40,Queen Square Bus Station,-2.98332178,53.40729825,Bus Station,E01033760
41,Cressington Rail Station,-2.911929476,53.35883045,Station,E01006687
42,Liverpool ONE Bus Station,-2.988271319,53.40212469,Bus Station,E01033756
43,Liverpool ONE Bus Station,-2.98803154,53.40216264,Bus Station,E01033756
44,Liverpool ONE Bus Station,-2.987791553,53.40219159,Bus Station,E01033756
45,Mossley Hill Rail Station,-2.915714149,53.37906252,Station,E01006524
46,Broad Green Rail Station,-2.893449877,53.40631478,Station,E01006576
47,Queen Square Bus Station,-2.983593124,53.40732298,Bus Station,E01033760
48,Queen Square Bus Station,-2.983789475,53.40735732,Bus Station,E01033760
49,Aigburth Rail Station,-2.926402481,53.36520898,Station,E01006684
50,Liverpool South Parkway Rail Station,-2.889706131,53.35809934,Station,E01006743
51,Metropolitan Cathedral,-2.967683191,53.40425295,Catholic Cathedral,E01006513
52,Cockspur Street West,-2.991310194,53.41055809,Pall Mall Car Park,E01033753
53,Nelson Street,-2.978408568,53.39837665,,E01006515
54,Newington,-2.978290871,53.40373502,,E01033756
55,Overton Street,-2.954210171,53.40512546,,E01033763
56,Larkfield Road,-2.940879186,53.37564874,,E01006629
57,West Derby Road,-2.934337114,53.42423121,,E01006764
58,Williamson Square,-2.983711479,53.40658491,,E01033760
59,Wolstenholme Square,-2.982427226,53.40242462,,E01033761
60,Cockspur Street West,-2.990383281,53.41016128,Moffat House,E01033755
61,Paradise Street,-2.985942941,53.40355521,,E01033756
62,Paradise Street,-2.986140316,53.40363448,,E01033756
63,Prescot Road,-2.9377536,53.41330991,,E01006692
64,Prescot Road,-2.923724337,53.41505526,,E01006711
65,Dovecot Avenue,-2.877979923,53.41988585,,E01006571
66,Liverpool Pier Head Ferry Terminal,-2.99652606,53.40522018,Ferry Terminal,E01033752
67,Hall Lane,-2.957284162,53.40737504,,E01006748
68,Kelby Close,-2.96154813,53.38299876,Kelbey Close,E01006633
69,Walton (Merseyside) Rail Station,-2.965650215,53.45659368,Station,E01006787
70,Brownlow Hill,-2.966358804,53.40554909,Catholic Cathedral,E01006513
71,Liverpool John Lennon Airport,-2.855129441,53.33768662,John Lennon Airport,E01006741
72,Ranleigh Street,-2.980484372,53.40493053,,E01033760
73,School Lane,-2.982862355,53.40433568,,E01033756
74,St Oswald Street,-2.913938797,53.41337774,,E01032508
75,Stafford Street,-2.973202124,53.41077898,,E01033758
76,Townsend Avenue,-2.931854039,53.4428036,,E01006730
77,Tunnel Road,-2.949120851,53.4001682,,E01006752
78,Back Gillmoss Lane,-2.900935708,53.46155778,Back Gilmoss Lane,E01006663
79,St Michaels Rail Station,-2.952798265,53.37559912,Station,E01006628
80,Preston Street,-2.98450104,53.4082054,,E01033760
81,Queen Square,-2.982580962,53.40778975,,E01033760
82,Lark Lane,-2.945783934,53.381273,,E01006522
83,Leece Street,-2.975076556,53.40196353,,E01006513
84,Lord Nelson Street,-2.976109085,53.40830128,,E01033760
85,Lord Nelson Street,-2.977632915,53.40849555,,E01033760
86,Mulberry Street,-2.967038816,53.4023705,,E01006512
87,Mulgrave Street,-2.961375574,53.3966903,,E01006673
88,Haven Road,-2.919477284,53.46992888,Fazakerley British Legion,E01006653
89,Edgemoor Drive,-2.919679996,53.46954979,Fazakerley British Legion,E01006653
90,Elmham Crescent,-2.920447789,53.4695259,Fazakerley British Legion,E01006653
91,Finch Lane,-2.876347966,53.42028436,,E01006641
92,Metropolitan Cathedral,-2.968324361,53.40400505,Cathedral,E01006513
93,Sandhills Rail Station,-2.99131888,53.43033363,Station,E01006778
94,Wavertree Technology Park Rail Station,-2.922964147,53.40565877,Station,E01006692
95,West Allerton Rail Station,-2.907924315,53.36974659,Station,E01006683
96,Ainsworth Street,-2.973994988,53.40531624,Pleasant St Primary School,E01006513
97,Warbreck Avenue,-2.958829958,53.46403744,,E01006782
98,Rawcliffe Road,-2.961994329,53.45476249,Rawcliffe Road,E01006787
99,Clock Tower Drive,-2.964448142,53.45206403,Walton Hospital,E01006791
100,Clock Tower Drive,-2.964269913,53.45217333,Walton Hospital,E01006791
101,Cavendish Drive,-2.96426299,53.45186777,Cavendish Drive,E01006791
102,Orrell Park Station,-2.963952243,53.4620816,Community Centre,E01006784
